SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,NumMentions,Contains14sub,Contains14
20160109,181,4,-9.0,-5.60747663551402,8,HK,8,1,0
20160111,181,4,-9.0,-5.51181102362205,2,HK,2,1,0
20160112,181,4,-9.0,-1.94730813287514,2,HK,2,1,0
20160113,181,4,-9.0,-5.23690773067332,1,HK,1,1,0
20160114,1822,4,-9.0,-6.52631578947369,10,HK,10,1,0
20160115,186,4,-10.0,4.13223140495868,2,HK,2,1,0
20160117,181,4,-9.0,-2.88888888888889,2,HK,2,1,0
20160118,186,4,-10.0,4.13223140495868,2,HK,2,1,0
20160119,181,4,-9.0,-4.49251247920133,8,HK,8,1,0
20160120,181,4,-9.0,-5.01002004008016,10,HK,10,1,0
20160121,1822,4,-9.0,-7.5242718446602,5,HK,5,1,0
20160122,181,4,-9.0,-1.6,10,HK,10,1,0
20160123,180,4,-9.0,-8.66666666666667,2,HK,2,1,0
20160124,181,4,-9.0,-0.80213903743316,1,HK,1,1,0
20160125,181,4,-9.0,-2.52100840336135,2,HK,2,1,0
20160127,181,4,-9.0,-2.21327967806841,1,HK,1,1,0
20160130,181,4,-9.0,-4.18848167539267,10,HK,10,1,0
20160201,182,4,-9.5,0.3154574036598205,2,HK,2,1,0
20160202,182,4,-9.5,-3.6144578313253,5,HK,5,1,0
20160204,180,4,-9.0,-9.44055944055945,5,HK,5,1,0
20160205,186,4,-10.0,6.46900269541779,20,HK,20,1,1
20160207,186,4,-10.0,-0.26737967914439,3,HK,3,1,0
20160208,181,4,-9.0,-6.49087221095335,3,HK,3,1,0
20160209,182,4,-9.5,-7.87037037037037,10,HK,10,1,0
20160210,181,4,-9.0,-4.0045766590389,2,HK,2,1,0
20160211,182,4,-9.5,-8.52017937219731,4,HK,4,1,0
20160212,181,4,-9.0,-4.85651214128035,4,HK,4,1,0
20160213,181,4,-9.0,-3.24763193504736,2,HK,2,1,0
20160214,182,4,-9.5,-7.50750750750751,2,HK,2,1,0
20160215,181,4,-9.0,-1.61290322580645,2,HK,2,1,0
20160216,182,4,-9.5,-10.8882521489971,10,HK,10,1,0
20160219,180,4,-9.0,-6.96347031963471,5,HK,5,1,0
