SQLDATE,EventCode,QuadClass,GoldsteinScale,AvgTone,NumArticles,ActionGeo_CountryCode,Contains14sub,Contains14
20150405,141,3,-6.5,3.31061343719572,5,SP,1,0
20150405,141,3,-6.5,-0.11560693641618,8,FR,1,0
20150405,141,3,-6.5,-6.30105017502917,10,AG,1,0
20150405,141,3,-6.5,1.58311345646438,1,LE,1,0
20150406,141,3,-6.5,-2.36486486486486,2,YM,1,0
20150406,1412,3,-6.5,-4.81927710843374,2,FR,1,0
20150406,141,3,-6.5,-6.32090761750405,10,AG,1,0
20150406,141,3,-6.5,-4.05982905982906,4,LE,1,0
20150406,141,3,-6.5,-1.88679245283018,10,SP,1,0
20150407,141,3,-6.5,-4.85762144053601,10,AG,1,0
20150407,141,3,-6.5,-1.01010101010101,10,FR,1,0
20150407,141,3,-6.5,-3.84615384615385,8,SP,1,0
20150407,141,3,-6.5,-2.45441795231416,2,LE,1,0
20150407,141,3,-6.5,-1.76991150442477,6,YM,1,0
20150408,141,3,-6.5,-3.125,7,SP,1,0
20150408,141,3,-6.5,-3.27868852459016,10,FR,1,0
20150408,141,3,-6.5,-5.07880910683013,1,LE,1,0
20150408,141,3,-6.5,1.2987012987013,10,YM,1,0
20150408,141,3,-6.5,1.59574468085107,10,AG,1,0
20150409,141,3,-6.5,-3.4375,2,YM,1,0
20150409,141,3,-6.5,-0.43956043956043,10,FR,1,0
20150409,141,3,-6.5,2.06185567010309,10,LE,1,0
20150409,141,3,-6.5,1.86915887850468,1,AG,1,0
20150409,141,3,-6.5,0.905349794238679,4,SP,1,0
20150410,141,3,-6.5,1.67597765363129,10,AG,1,0
20150410,141,3,-6.5,-0.16949152542373,10,FR,1,0
20150410,141,3,-6.5,-5.30546623794213,10,YM,1,0
20150410,141,3,-6.5,-3.7812288993923,3,LE,1,0
20150410,141,3,-6.5,-3.74531835205992,10,SP,1,0
20150411,141,3,-6.5,-2.46913580246913,10,YM,1,0
20150411,141,3,-6.5,-2.05128205128205,4,SP,1,0
20150411,141,3,-6.5,-1.45631067961165,10,FR,1,0
20150411,141,3,-6.5,-1.54639175257732,10,AG,1,0
20150411,141,3,-6.5,-4.57227138643068,8,LE,1,0
20150412,141,3,-6.5,-4.69029154805144,4,SP,1,0
20150412,141,3,-6.5,-5.91182364729459,2,LE,1,0
20150412,141,3,-6.5,-2.62974949059091,10,YM,1,0
20150412,141,3,-6.5,-2.59319286871961,2,FR,1,0
20150412,141,3,-6.5,-0.55401662049861,7,AG,1,0
20150413,141,3,-6.5,-6.63507109004739,10,SP,1,0
20150413,141,3,-6.5,-3.79550735863672,10,LE,1,0
20150413,141,3,-6.5,-7.45341614906832,8,AG,1,0
20150413,141,3,-6.5,-4.10958904109589,2,YM,1,0
20150413,141,3,-6.5,-0.639658848614072,10,FR,1,0
20150414,141,3,-6.5,-2.51572327044025,2,SP,1,0
20150414,141,3,-6.5,1.59651669085631,8,AG,1,0
20150414,141,3,-6.5,-0.10775862068965,10,FR,1,0
20150414,141,3,-6.5,-4.57516339869281,4,YM,1,0
20150414,141,3,-6.5,3.45394736842105,12,LE,1,1
20150415,141,3,-6.5,0.72463768115942,10,YM,1,0
20150415,141,3,-6.5,-2.93398533007335,2,AG,1,0
20150415,141,3,-6.5,-1.75438596491228,4,FR,1,0
20150415,141,3,-6.5,-3.31432644333571,8,LE,1,0
20150415,141,3,-6.5,-4.85074626865672,10,SP,1,0
20150416,141,3,-6.5,1.96891191709844,2,LE,1,0
20150416,141,3,-6.5,-4.96124031007752,1,YM,1,0
20150416,141,3,-6.5,2.43024302430243,6,FR,1,0
20150416,141,3,-6.5,-4.19248244527055,10,AG,1,0
20150416,141,3,-6.5,-3.87323943661972,6,SP,1,0
20150417,141,3,-6.5,2.30088495575221,10,AG,1,0
20150417,141,3,-6.5,-5.78947368421053,2,SP,1,0
20150417,141,3,-6.5,-3.63349131121643,8,FR,1,0
20150417,141,3,-6.5,-7.26915520628683,2,YM,1,0
20150417,141,3,-6.5,1.96891191709844,4,LE,1,0
20150418,141,3,-6.5,-2.05128205128205,2,LE,1,0
20150418,141,3,-6.5,2.05655526992288,4,AG,1,0
20150418,141,3,-6.5,-2.14285714285714,8,YM,1,0
20150418,141,3,-6.5,-5.53940568475453,20,FR,1,1
20150418,141,3,-6.5,0.0,10,SP,1,0
20150419,141,3,-6.5,-3.04182509505704,2,AG,1,0
20150419,141,3,-6.5,-2.42718446601942,4,SP,1,0
20150419,141,3,-6.5,0.90909090909091,4,LE,1,0
20150419,141,3,-6.5,-6.19266055045871,6,FR,1,0
20150419,141,3,-6.5,-1.55355682747342,8,YM,1,0
20150420,141,3,-6.5,-3.19634703196347,2,AG,1,0
20150420,141,3,-6.5,-2.54777070063695,10,FR,1,0
20150420,141,3,-6.5,-7.2289156626506,6,YM,1,0
20150420,141,3,-6.5,-1.26050420168067,10,SP,1,0
20150420,141,3,-6.5,0.0,2,LE,1,0
20150421,141,3,-6.5,-2.73972602739726,10,SP,1,0
20150421,141,3,-6.5,0.44843049327355,10,AG,1,0
20150421,141,3,-6.5,-2.56916996047431,10,FR,1,0
20150421,141,3,-6.5,-4.54545454545454,10,YM,1,0
20150421,141,3,-6.5,-9.70149253731346,8,LE,1,0
20150422,141,3,-6.5,7.07964601769911,6,LE,1,0
20150422,141,3,-6.5,-1.11972437553833,5,FR,1,0
20150422,141,3,-6.5,-4.75,10,SP,1,0
20150422,141,3,-6.5,2.89256198347108,20,AG,1,1
20150422,141,3,-6.5,-4.37158469945356,2,YM,1,0
20150423,141,3,-6.5,-8.86524822695033,10,FR,1,0
20150423,141,3,-6.5,-5.39682539682539,7,LE,1,0
20150423,141,3,-6.5,-3.06386120339609,2,YM,1,0
20150423,1412,3,-6.5,-10.1910828025477,10,SP,1,0
20150424,141,3,-6.5,-6.95652173913043,20,AG,1,1
20150424,141,3,-6.5,-6.78294573643411,5,FR,1,0
20150424,141,3,-6.5,-5.14905149051491,2,YM,1,0
20150424,141,3,-6.5,-10.954356846473,2,LE,1,0
20150424,141,3,-6.5,-4.53514739229025,2,SP,1,0
20150425,141,3,-6.5,-7.56302521008404,10,AG,1,0
20150425,141,3,-6.5,-1.36986301369863,6,FR,1,0
20150425,1411,3,-6.5,-4.80167014613778,10,SP,1,0
20150425,141,3,-6.5,-4.4,10,LE,1,0
20150425,141,3,-6.5,-5.08221225710015,7,YM,1,0
20150426,141,3,-6.5,-2.08695652173913,10,SP,1,0
20150426,141,3,-6.5,-6.4343163538874,3,LE,1,0
20150426,141,3,-6.5,-10.1851851851852,10,AG,1,0
